Date,Gross_Revenue,Exchange_Rate_JPY_USD,Net_Gas_Price,CPI,Corn_Price
2000-09-01,103.0,106.8375,5.01,150.2,1.61
2000-10-01,103.0,108.4428571,5.41,148.9,1.74
2000-11-01,106.0,109.0095238,6.15,149.3,1.86
2000-12-01,106.0,112.209,7.43,150.9,1.97
2001-01-01,108.0,116.6719048,8.84,154.8,1.98
2001-02-01,109.0,116.2336842,7.21,158.6,1.96
2001-03-01,112.0,121.505,6.3,160.1,1.96
2001-04-01,111.0,123.7709524,6.08,161.5,1.89
2001-05-01,111.0,121.7681818,5.46,161.7,1.82
2001-06-01,110.0,122.3509524,4.75,162.5,1.76
2001-07-01,108.0,124.4980952,4.1,162.1,1.87
2001-08-01,106.0,121.3669565,3.99,161.0,1.9
2001-09-01,107.0,118.6116667,3.5,161.1,1.91
2001-10-01,99.9,121.4536364,3.18,161.0,1.84
2001-11-01,96.9,122.4055,3.88,161.0,1.85
2001-12-01,101.0,127.5945,3.69,160.2,1.98
2002-01-01,102.0,132.6833333,4.05,159.7,1.97
2002-02-01,105.0,133.6426316,3.7,160.7,1.93
2002-03-01,105.0,131.0609524,3.78,161.8,1.94
2002-04-01,101.0,130.7718182,3.64,162.3,1.91
2002-05-01,99.5,126.375,4.07,162.1,1.93
2002-06-01,96.5,123.2905,3.86,160.2,1.97
2002-07-01,95.2,117.8990909,3.8,159.7,2.13
2002-08-01,94.9,118.9927273,3.62,160.0,2.38
2002-09-01,92.4,121.078,3.89,159.6,2.47
2002-10-01,92.0,123.9077273,4.18,159.7,2.34
2002-11-01,91.9,121.6078947,4.72,160.3,2.28
2002-12-01,95.3,121.8928571,4.92,161.1,2.32
2003-01-01,96.8,118.8133333,5.65,161.3,2.33
2003-02-01,97.2,119.3378947,6.4,166.6,2.34
2003-03-01,96.7,118.6871429,8.27,168.6,2.33
2003-04-01,98.9,119.895,5.96,169.1,2.34
2003-05-01,100.0,117.3680952,5.78,168.3,2.38
2003-06-01,101.0,118.3290476,6.59,170.3,2.34
2003-07-01,102.0,118.6959091,5.69,171.8,2.17
2003-08-01,106.0,118.662381,5.28,172.9,2.15
2003-09-01,109.0,114.8,5.32,175.5,2.2
2003-10-01,112.0,109.4954545,4.93,182.1,2.12
2003-11-01,111.0,109.1777778,5.19,195.6,2.2
2003-12-01,112.0,107.7377273,5.9,198.9,2.31
2004-01-01,110.0,106.2685,6.72,194.2,2.39
2004-02-01,111.0,106.7078947,6.52,193.5,2.61
2004-03-01,115.0,108.5156522,5.97,190.1,2.75
2004-04-01,117.0,107.6563636,6.06,191.4,2.89
2004-05-01,121.0,112.196,6.34,195.0,2.87
2004-06-01,125.0,109.4336364,6.82,197.5,2.79
2004-07-01,130.0,109.4871429,6.41,198.3,2.51
2004-08-01,131.0,110.2336364,6.36,197.4,2.34
2004-09-01,128.0,110.0914286,5.68,196.9,2.2
2004-10-01,126.0,108.7835,6.03,195.6,2.14
2004-11-01,123.0,104.699,7.64,196.7,2.05
2004-12-01,122.0,103.8104348,7.54,197.1,2.04
2005-01-01,126.0,103.341,7.06,197.2,2.12
2005-02-01,129.0,104.9442105,7.15,200.2,1.95
2005-03-01,136.0,105.2543478,7.12,201.6,2.02
2005-04-01,141.0,107.1938095,7.71,201.6,2.0
2005-05-01,143.0,106.5952381,7.19,204.7,1.98
2005-06-01,140.0,108.7472727,6.91,204.1,2.03
2005-07-01,133.0,111.9535,7.4,199.9,2.11
2005-08-01,133.0,110.6065217,7.98,198.9,1.95
2005-09-01,135.0,111.2390476,10.18,197.9,1.9
2005-10-01,135.0,114.8695,12.06,198.4,1.82
2005-11-01,137.0,118.454,12.11,199.1,1.77
2005-12-01,137.0,118.462381,11.17,201.5,1.92
2006-01-01,141.0,115.4765,10.85,202.8,2.0
2006-02-01,143.0,117.8605263,9.38,202.9,2.02
2006-03-01,139.0,117.2778261,8.24,204.0,2.06
2006-04-01,137.0,117.0695,7.93,203.0,2.11
2006-05-01,134.0,111.7304545,7.63,201.2,2.17
2006-06-01,135.0,114.625,6.92,200.3,2.14
2006-07-01,137.0,115.767,6.78,198.9,2.14
2006-08-01,136.0,115.9243478,7.36,201.6,2.09
2006-09-01,136.0,117.2145,7.21,201.1,2.2
2006-10-01,128.0,118.6090476,5.62,202.4,2.55
2006-11-01,119.0,117.3204762,7.74,203.8,2.88
2006-12-01,116.0,117.322,8.23,202.6,3.01
2007-01-01,114.0,120.4471429,7.36,203.168,3.05
2007-02-01,114.0,120.5047368,8.25,205.786,3.44
2007-03-01,122.0,117.26,8.42,208.731,3.43
2007-04-01,125.0,118.932381,8.14,212.567,3.39
2007-05-01,124.0,120.7731818,8.11,212.838,3.49
2007-06-01,124.0,122.6885714,7.92,213.194,3.53
2007-07-01,126.0,121.4147619,7.51,211.658,3.32
2007-08-01,127.0,116.7334783,6.72,211.836,3.26
2007-09-01,126.0,115.0435,6.28,213.937,3.28
2007-10-01,123.0,115.866087,7.06,212.487,3.29
2007-11-01,122.0,111.0728571,7.87,213.706,3.44
2007-12-01,120.0,112.449,8.18,212.808,3.77
2008-01-01,117.0,107.8180952,8.29,212.771,3.98
2008-02-01,120.0,107.03,8.96,213.88,4.54
2008-03-01,118.0,100.7561905,9.61,215.226,4.7
2008-04-01,116.0,102.6777273,10.03,212.782,5.14
2008-05-01,120.0,104.3595238,11.35,215.927,5.27
2008-06-01,118.0,106.9152381,12.11,219.529,5.47
2008-07-01,114.0,106.8518182,13.06,221.362,5.25
2008-08-01,117.0,109.362381,10.1,226.613,5.26
2008-09-01,113.0,106.5747619,9.13,227.046,5.01
2008-10-01,106.0,99.96590909,8.1,229.371,4.37
2008-11-01,105.0,96.96555556,7.34,226.511,4.26
2008-12-01,98.9,91.275,7.86,226.019,4.11
2009-01-01,107.0,90.1205,7.5,223.028,4.36
2009-02-01,106.0,92.91578947,6.43,224.807,3.87
2009-03-01,107.0,97.855,5.69,221.627,3.85
2009-04-01,111.0,98.92,5.05,220.592,3.85
2009-05-01,111.0,96.6445,4.4,219.472,3.96
2009-06-01,109.0,96.61454545,4.56,218.782,4.01
2009-07-01,109.0,94.36695652,4.68,213.664,3.6
2009-08-01,109.0,94.89714286,4.38,216.015,3.33
2009-09-01,106.0,91.2747619,3.89,215.231,3.25
2009-10-01,104.0,90.36714286,4.82,214.083,3.61
2009-11-01,105.0,89.26736842,5.44,216.546,3.65
2009-12-01,106.0,89.95090909,5.97,215.426,3.6
2010-01-01,110.0,91.10105263,6.93,213.17,3.66
2010-02-01,113.0,90.13947368,6.76,215.129,3.55
2010-03-01,117.0,90.71608696,6.01,217.346,3.55
2010-04-01,124.0,93.45272727,5.12,223.378,3.41
2010-05-01,124.0,91.973,5.08,226.048,3.48
2010-06-01,122.0,90.80590909,5.04,228.499,3.41
2010-07-01,122.0,87.50047619,5.49,228.08,3.49
2010-08-01,123.0,85.37272727,5.37,226.713,3.65
2010-09-01,118.0,84.35714286,4.61,227.464,4.08
2010-10-01,121.0,81.7285,4.73,229.636,4.32
2010-11-01,125.0,82.518,4.6,230.021,4.55
2010-12-01,130.0,83.33761905,5.5,228.652,4.82
2011-01-01,136.0,82.625,5.66,237.322,4.94
2011-02-01,139.0,82.53684211,5.77,239.773,5.65
2011-03-01,148.0,81.64695652,5.21,244.056,5.53
2011-04-01,147.0,83.17714286,5.34,245.466,6.36
2011-05-01,137.0,81.12571429,5.21,247.103,6.32
2011-06-01,133.0,80.42590909,5.21,245.478,6.38
2011-07-01,138.0,79.2425,5.05,247.354,6.33
2011-08-01,134.0,76.96565217,5.21,249.872,6.88
2011-09-01,132.0,76.79571429,4.84,250.88,6.38
2011-10-01,145.0,76.643,4.71,252.011,5.73
2011-11-01,153.0,77.5595,4.64,253.28,5.83
2011-12-01,157.0,77.79666667,4.59,256.137,5.86
2012-01-01,176.0,76.964,4.58,261.366,6.07
2012-02-01,189.0,78.47,4.19,260.146,6.28
2012-03-01,188.0,82.46590909,3.71,260.565,6.35
2012-04-01,180.0,81.25238095,3.21,259.847,6.34
2012-05-01,179.0,79.66681818,3.02,260.296,6.34
2012-06-01,171.0,79.3152381,3.34,261.738,6.37
2012-07-01,156.0,78.9347619,3.6,264.034,7.14
2012-08-01,162.0,78.69086957,3.83,264.011,7.63
2012-09-01,168.0,78.13526316,3.56,264.447,6.89
2012-10-01,169.0,79.01318182,3.94,265.701,6.78
2012-11-01,165.0,81.0305,4.46,266.25,7.01
2012-12-01,168.0,83.7905,4.73,268.651,6.87
2013-01-01,171.0,89.05809524,4.58,269.569,6.96
2013-02-01,170.0,93.00157895,4.54,268.294,7.04
2013-03-01,163.0,94.77,4.59,266.643,7.13
2013-04-01,159.0,97.75818182,4.95,264.428,6.97
2013-05-01,157.0,100.9186364,5.0,264.934,6.97
2013-06-01,152.0,97.235,4.9,265.617,6.97
2013-07-01,162.0,99.67272727,4.47,267.517,6.79
2013-08-01,178.0,97.81227273,4.31,268.217,6.21
2013-09-01,200.0,99.21,4.36,268.69,5.4
2013-10-01,190.0,97.77,4.36,270.081,4.63
2013-11-01,192.0,100.0736842,4.62,272.132,4.37
2013-12-01,197.0,103.46,4.97,273.984,4.41
2014-01-01,208.0,103.7614286,5.69,273.76,4.42
2014-02-01,209.0,102.1252632,6.63,282.706,4.35
2014-03-01,216.0,102.3395238,6.47,286.924,4.52
2014-04-01,222.0,102.4581818,5.85,295.545,4.71
2014-05-01,229.0,101.7738095,5.74,294.973,4.71
2014-06-01,249.0,102.0628571,5.46,294.26,4.5
2014-07-01,257.0,101.74,5.43,295.306,4.06
2014-08-01,271.0,102.9438095,4.96,307.541,3.63
2014-09-01,279.0,107.4257143,5.02,315.022,3.49
2014-10-01,307.0,108.0263636,5.03,316.98,3.57
2014-11-01,305.0,116.2994444,5.02,320.259,3.6
2014-12-01,303.0,119.3233333,5.62,324.635,3.79
2015-01-01,288.0,118.25,4.9,325.728,3.82
2015-02-01,277.0,118.76,4.74,326.521,3.79
2015-03-01,290.0,120.3945455,4.46,324.972,3.81
2015-04-01,288.0,119.5095455,3.96,325.895,3.75
2015-05-01,288.0,120.798,3.58,324.713,3.64
2015-06-01,292.0,123.7186364,3.76,325.447,3.59
2015-07-01,275.0,123.3109091,3.74,324.516,3.8
2015-08-01,273.0,123.0038095,3.79,322.202,3.68
2015-09-01,241.0,120.147619,3.65,321.693,3.68
2015-10-01,234.0,120.0480952,3.54,320.252,3.67
2015-11-01,217.0,122.6431579,3.28,316.47,3.59
2015-12-01,193.0,121.635,3.48,311.309,3.65
2016-01-01,193.0,118.2257895,3.62,308.935,3.66
2016-02-01,192.0,114.6155,3.58,308.063,3.58
2016-03-01,197.0,112.9317391,3.02,309.055,3.56
2016-04-01,180.0,109.5519048,3.0,306.75,3.56
2016-05-01,170.0,109.8118182,2.9,305.881,3.68
2016-06-01,157.0,105.4513636,2.89,302.151,3.82
2016-07-01,145.0,104.0942857,3.57,298.516,3.6
2016-08-01,153.0,101.3086957,3.59,298.958,3.21
2016-09-01,139.0,101.8322727,3.74,298.498,3.22
2016-10-01,134.0,103.8509524,3.87,296.83,3.29
2016-11-01,143.0,108.63,3.86,296.559,3.24
2016-12-01,148.0,116.1195455,4.27,294.845,3.32
2017-01-01,152.0,114.9213636,4.85,294.679,3.4
2017-02-01,151.0,112.986,4.53,295.794,3.44
2017-03-01,159.0,112.913913,3.92,295.12,3.49
2017-04-01,164.0,110.042,4.11,294.774,3.43
2017-05-01,171.0,112.2452174,4.02,293.8,3.45
2017-06-01,164.0,110.9659091,4.05,298.839,3.43
2017-07-01,157.0,112.3857143,3.92,301.852,3.49
2017-08-01,163.0,109.8382609,3.78,301.58,3.27
2017-09-01,173.0,110.8057143,3.83,299.336,3.27
2017-10-01,177.0,112.9322727,3.78,298.849,3.26
2017-11-01,177.0,112.8236364,3.84,300.632,3.15
2017-12-01,174.0,112.9304762,4.19,305.23,3.23
2018-01-01,174.0,110.9678261,4.46,302.074,3.29
2018-02-01,180.0,107.7802273,4.85,301.812,3.38
2018-03-01,175.0,105.9856452,4.0,302.528,3.51
2018-04-01,170.0,107.5981267,3.89,305.031,3.58
2018-05-01,165.0,109.6705484,3.8,300.17,3.68
2018-06-01,158.0,110.0791333,3.77,301.45,3.58
2018-07-01,153.0,111.3934226,3.75,303.141,3.47
2018-08-01,160.0,111.0062419,3.67,303.746,3.36
2018-09-01,169.0,111.9634852,3.75,303.114,3.4
2018-10-01,174.0,112.746937,4.03,301.958,3.42
2018-11-01,169.0,113.3221,4.51,302.845,3.41
2018-12-01,166.0,112.1641192,5.47,303.113,3.54
2019-01-01,169.0,108.9168296,5.02,305.967,3.56
2019-02-01,170.0,110.3920125,4.62,306.685,3.6
2019-03-01,170.0,111.1217654,4.31,306.42,3.61
2019-04-01,174.0,111.6945385,3.99,305.495,3.53
2019-05-01,148.0,109.9846074,3.64,307.292,3.63
2019-06-01,149.0,108.051944,3.55,304.075,3.98
2019-07-01,144.0,108.2279115,3.33,305.134,4.16
2019-08-01,142.0,106.160837,3.18,304.428,3.93
2019-09-01,144.0,107.525252,3.35,306.197,3.8
2019-10-01,154.0,108.1231704,3.43,308.594,3.85
2019-11-01,158.0,108.8967962,3.86,310.854,3.68
2019-12-01,159.0,109.1458654,3.84,316.987,3.71
2020-01-01,168.0,109.2726667,3.71,317.273,3.79
2020-02-01,168.0,109.919632,3.58,318.882,3.78
2020-03-01,160.0,107.7155,3.39,318.443,3.68
2020-04-01,151.0,107.8163654,3.0,328.645,3.29
2020-05-01,151.0,107.2325308,2.91,363.942,3.2
2020-06-01,149.0,107.6249923,2.72,381.453,3.16
2020-07-01,149.0,106.7586556,2.58,348.9,3.21
2020-08-01,153.0,106.0052462,2.85,333.654,3.12
2020-09-01,155.0,105.6138115,3.3,331.09,3.41
2020-10-01,156.0,105.2065074,3.29,331.659,3.61
2020-11-01,162.0,104.35322,3.98,333.856,3.79
2020-12-01,165.0,103.7607926,4.11,333.528,3.97
2021-01-01,165.0,103.76955,4.04,337.142,4.24
2021-02-01,167.0,105.4275,9.32,340.0,4.75
2021-03-01,163.0,108.7758889,4.41,341.47,4.89
2021-04-01,168.0,109.0757269,4.0,343.072,5.31
2021-05-01,159.0,109.1649423,4.11,354.782,5.91
2021-06-01,159.0,110.1426231,4.16,371.856,6.0
2021-07-01,165.0,110.2485731,4.69,371.744,6.12
2021-08-01,175.0,109.8458308,4.95,374.273,6.32
2021-09-01,173.0,110.1625269,5.42,388.557,5.47
2021-10-01,175.0,113.1579192,6.61,397.293,5.02
2021-11-01,174.0,114.0071923,6.9,402.836,5.26
2021-12-01,181.0,113.8928037,6.77,395.46,5.47
2022-01-01,185.0,114.8465423,6.49,390.96,5.58
2022-02-01,194.0,115.2469333,7.34,394.802,6.09
2022-03-01,187.0,118.6942259,6.2,396.707,6.56
2022-04-01,186.0,126.42355,6.7,393.272,7.07
2022-05-01,183.0,128.7926731,8.11,391.694,7.26
2022-06-01,184.0,134.1224846,9.34,387.876,7.38
2022-07-01,186.0,136.5262308,7.89,384.544,7.25
2022-08-01,197.0,135.3981,9.44,383.581,7.24
2022-09-01,195.0,143.1059192,9.62,383.714,7.09
2022-10-01,200.0,147.0515538,7.18,382.21,6.49
2022-11-01,203.0,141.9544538,6.76,381.033,6.49
2022-12-01,206.0,134.7635333,8.08,382.823,6.58
2023-01-01,209.0,130.2698538,7.18,386.309,6.63
2023-02-01,217.0,133.1330208,5.95,389.252,6.8
2023-03-01,230.0,133.5998111,5.0,389.482,6.67
2023-04-01,244.0,133.526928,4.04,391.984,6.7
2023-05-01,251.0,137.204863,3.54,396.145,6.54
2023-06-01,260.0,141.3542885,3.52,398.9,6.49
2023-07-01,262.0,141.1191654,3.84,404.999,6.22
2023-08-01,272.0,144.8053259,3.8,407.649,5.73
2023-09-01,279.0,147.8504,3.81,409.949,5.21
2023-10-01,297.0,149.5597741,4.05,416.164,4.93
2023-11-01,290.0,149.8078967,4.35,413.612,4.66
2023-12-01,280.0,143.6685613,4.48,415.87,4.8
2024-01-01,300.0,141.13,4.95,416.159,4.74
2024-02-01,311.0,143.5,4.72,417.692,4.36
2024-03-01,328.0,145.2,3.7,419.083,4.36
2024-04-01,318.0,146.8,3.36,419.874,4.39
2024-05-01,323.0,148.3,3.1,418.993,4.51
2024-06-01,318.0,149.5,3.62,419.8,4.48
2024-07-01,306.0,150.7,3.54,423.325,4.23
2024-08-01,290.0,151.9,3.1,424.636,3.84
2024-09-01,289.0,153.1,3.28,426.9,3.98
2024-10-01,322.0,154.3,3.84,424.183,3.99
2024-11-01,334.0,155.5,3.92,434.015,4.07
2024-12-01,356.0,156.7,5.06,435.739,4.23
