Date,Gross_Revenue,Exchange_Rate_JPY_USD,Net_Gas_Price,CPI,Corn_Price,Gross_Value_Production
2022-04-01,4120464,122.507,5.72,289.109,7.35,731.19
2022-05-01,4119214,130.127,7.3,292.296,8.035,742.40
2022-06-01,4117278,130.122,9.08,296.311,7.3125,695.73
2022-07-01,4120945,135.225,5.72,296.276,7.4306,696.36
2022-08-01,4119570,131.568,8.2,296.171,6.07,707.90
2022-09-01,4118411,140.1915,8.52,296.808,6.5825,702.13
2022-10-01,4120228,144.739,5.64,298.012,6.8075,702.86
2022-11-01,4119547,148.191,4.62,297.711,6.9775,729.80
2022-12-01,4120039,135.3341,4.15,296.797,6.5,698.51
2023-01-01,4130766,130.7275,3.64,299.17,6.785,924.92
2023-02-01,4135553,128.932,2.17,300.84,6.81,952.27
2023-03-01,4125446,136.121,2.46,301.836,6.405,928.86
2023-04-01,4130749,132.775,2.09,303.363,6.5775,885.23
2023-05-01,4135878,137.452,2.24,304.127,6.395,946.54
2023-06-01,4130927,138.761,1.92,305.109,5.925,899.11
2023-07-01,4125160,144.305,2.48,305.691,5.555,920.62
2023-08-01,4135343,142.913,2.65,307.026,4.97,958.21
2023-09-01,4130806,146.204,2.6,307.789,4.6525,924.10
2023-10-01,4135586,149.846,2.7,307.671,4.8875,901.65
2023-11-01,4130383,150.6075,2.71,307.051,4.75,945.31
2023-12-01,4135635,146.815,2.55,306.746,4.6175,917.92
